product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
b.tempt'd Ciao Bella Thong,Baja Blue,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around.",b.tempt'd Ciao Bella Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Thong,Vanilla Ice,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around.",b.tempt'd Ciao Bella Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Thong,Cappuccino,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around.",b.tempt'd Ciao Bella Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Thong,Wineberry,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around.",b.tempt'd Ciao Bella Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Thong,Peacoat Blue,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around.",b.tempt'd Ciao Bella Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Ciao Bella Thong,Blithe,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around.",b.tempt'd Ciao Bella Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Night,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Pansy,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Wild Aster,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Barrier Reef,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Pink Yarrow,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Very Violet,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
b.tempt'd Lace Kiss Thong,Micro Chip,COLLECTIONS,13,"S,M,L,XL","l,m,s,xl",WACOAL,Btemptd US,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style.",b.tempt'd Lace Kiss Thong,NULL,NULL,25-04-20 13:49
