product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Lace Mini Knickers,DUSTY LILAC,Lingerie,10,"2,4,6,8,10,12,14","2,4,6,8,10,12,14",US TOPSHOP,Topshop US,"In a pretty lace and mesh design, these dusty lilac mini knickers are finished with a contrast waistband. 87% Nylon, 13% Elastane. Machine wash.",Lace Mini Knickers,NULL,NULL,26-04-20 19:42
3 Pack Cotton Lace Mini Knickers,MULTI,Lingerie,10,"2,4,6,8,10,12,14","4,8,10,12",US TOPSHOP,Topshop US,"Three-pack of cotton lace mini knickers. 88% Polyamide, 12% Elastane. Machine wash.",3 Pack Cotton Lace Mini Knickers,NULL,NULL,26-04-20 19:42
Black Velvet Bralet by Y.A.S,BLACK,Lingerie,26,"XS,S,M,L,XL",XL,US TOPSHOP,Topshop US,"A black velvet bralet by Y.A.S. 95% Polyester, 5% Elastane. Machine wash.",Black Velvet Bralet by Y.A.S,NULL,NULL,26-04-20 19:42
All Over Lace Body,GINGER,Lingerie,40,"2,4,6,8,10,12,14",8,US TOPSHOP,Topshop US,"Keep your base layers luxe with this body in all-over ginger lace with lace-up detail to the front. 85% Nylon, 15% Elastane. Machine wash.",All Over Lace Body,NULL,NULL,26-04-20 19:42
Lace Mini Knickers,BLACK,Lingerie,10,"2,4,6,8,10,12,14","2,4,6,8,10,14",US TOPSHOP,Topshop US,"Black lace mini knickers. 89% Nylon, 11% Elastane. Machine wash.",Lace Mini Knickers,NULL,NULL,26-04-20 19:42
Body by Somedays Lovin',WHITE,Lingerie,100,"XS,S,M,L","XS,S,M,L",US TOPSHOP,Topshop US,"White body by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash.",Body by Somedays Lovin',NULL,NULL,26-04-20 19:42
**Padded Bra by Wonderbra,BLACK,Lingerie,44,"32D,34D,36D,32DD,34DD,32E,34E,36E",36D,US TOPSHOP,Topshop US,"Opt for an enhanced look in this full-support padded bra in black by iconic brand Wonderbra. 62% Polyamide, 22% Polyester, 16% Elastane. Machine wash.",**Padded Bra by Wonderbra,NULL,NULL,26-04-20 19:42
Soft Bra by BlueBella,Pink,Lingerie,50,"S,M,L,XL","S,M,L,XL",US TOPSHOP,Topshop US,"Pink soft bra by BlueBella. 90% Polyamide, 10% Elastane. Machine wash.",Soft Bra by BlueBella,NULL,NULL,26-04-20 19:42
Sporty Branded Thong,COBALT,Lingerie,10,"S,M,L","M,L",US TOPSHOP,Topshop US,"Opt for a simple but practical style when choosing underwear with this sporty thong in a low rise fit with Topshop branding detail. 85% Polyamide, 14% Elastane, 1% Polyester. Machine wash.",Sporty Branded Thong,NULL,NULL,26-04-20 19:42
Broderie Lace Balconette Bra,IVORY,Lingerie,40,"30A,30B,30C,30D,30E,32A,32B,32C,32D,32E,34A,34B,34C,34D,34E,36A,36B,36C,36D,36E,38A,38B,38C,38D,38E,30DD,32DD,34DD,36DD,38DD","32A,32B,32C,32D,34A,34B,34C,34D,36C",US TOPSHOP,Topshop US,"Lightly padded balcony bra with underwired cups for a smooth shape and added support 60% Polyamide,40% Cotton. Machine washable.",Broderie Lace Balconette Bra,NULL,NULL,26-04-20 19:42
Bohemian Plunge Bra,AQUA,Lingerie,52,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32C,32D,34A,34B,34C,34D,36B,36C",US TOPSHOP,Topshop US,Premium aqua plunge bra with applique detailing. 100% Polyamide. Machine wash.,Bohemian Plunge Bra,NULL,NULL,26-04-20 19:42
White Bra by Somedays Lovin',WHITE,Lingerie,75,"XS,S,M,L","XS,S,M,L",US TOPSHOP,Topshop US,"White bra by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash.",White Bra by Somedays Lovin',NULL,NULL,26-04-20 19:42
Eyelash Lace Plunge Bra,Blue,Lingerie,38,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32B,32C,32D,34A,34B,34C,34D,36C",US TOPSHOP,Topshop US,"Invest in a luxe piece for your lingerie drawer with this lightly padded bra in blue eyelash lace, with a plunging neckline and underwired cups for added support. 88% Polyamide, 12% Elastane. Machine wash.",Eyelash Lace Plunge Bra,NULL,NULL,26-04-20 19:42
Push Up Bra by Wonderbra,BLACK,Lingerie,46,"32A,34A,36A,32B,34B,36B,32C,34C,36C,38C,30D,32D,34D,36D",38C,US TOPSHOP,Topshop US,"Opt for an enhanced look in this full-support push up bra in black by iconic brand Wonderbra. 45% Polyester, 43% Polyamide, 12% Elastane. Machine wash.",Push Up Bra by Wonderbra,NULL,NULL,26-04-20 19:42
Lace Balcony Bra,CORAL,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32D,36B",US TOPSHOP,Topshop US,"Add a touch of lace to your lingerie collection with this pretty lace bra in coral with balcony cups for extra support. 89% Nylon, 11% Elastane. Machine wash.",Lace Balcony Bra,NULL,NULL,26-04-20 19:42
Camisole And Bikini Set by Bluebella,Pink,Lingerie,52,"S,M,L","M,L",US TOPSHOP,Topshop US,Pink camisole and frill mini knickers set by Bluebella. 100% Polyester. Machine wash.,Camisole And Bikini Set by Bluebella,NULL,NULL,26-04-20 19:42
Seamless Sporty Branded Bra,COBALT,Lingerie,15,"L,M,S",M,US TOPSHOP,Topshop US,"Opt for a simple but practical style when choosing underwear with this sporty bra in blue with â€˜Topshopâ€™ branding detail to the underband. 85% Nylon,14% Elastane,1% Polyester. Machine wash.",Seamless Sporty Branded Bra,NULL,NULL,26-04-20 19:42
Triangle Bra by Somedays Lovin',WHITE,Lingerie,60,"XS,S,M,L","XS,S,M",US TOPSHOP,Topshop US,This gorgeous triangle bra by Somedayâ€™s Lovinâ€™ is a luxe addition to your underwear collection. We love the pretty embroidered detail to the cups. 100% Nylon. Machine wash.,Triangle Bra by Somedays Lovin',NULL,NULL,26-04-20 19:42
Thong by Bluebella,Pink,Lingerie,22,"4,6,8,10,12","4,6,8,10,12",US TOPSHOP,Topshop US,"Pink thong by Bluebella. 90% Polyamide,10% Elastane. Machine wash.",Thong by Bluebella,NULL,NULL,26-04-20 19:42
Lace Underwired Bra,CORAL,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,34A,34B,36A",US TOPSHOP,Topshop US,"Itâ€™s all about delicate detail with this floral lace bra. With underwired for support, it provides a barely there feel without pads. 89% Nylon, 11% Elastane. Machine wash.",Lace Underwired Bra,NULL,NULL,26-04-20 19:42
Lace Underwired Bra,GINGER,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32C,34A,34B,36A",US TOPSHOP,Topshop US,"Ginger underwired lace bra. 89% Nylon, 11% Elastane. Machine wash.",Lace Underwired Bra,NULL,NULL,26-04-20 19:42
Black Knickers by Somedays Lovin',BLACK,Lingerie,35,"XS,S,M,L","XS,S,M,L",US TOPSHOP,Topshop US,"Black knickers by Somedays Lovin'. 85% Polyester, 15% Elastane. Machine wash.",Black Knickers by Somedays Lovin',NULL,NULL,26-04-20 19:42
Criss Cross Mesh Underwire Bra,Nude,Lingerie,38,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D",34A,US TOPSHOP,Topshop US,"Update your under layers with this pretty lace underwire bra in a criss-cross design, with no pads for a barely-there feel. 78% Polyamide, 22% Elastane. Machine wash.",Criss Cross Mesh Underwire Bra,NULL,NULL,26-04-20 19:42
Seamless Sporty Thong,Pink,Lingerie,10,"S,M,L","S,M,L",US TOPSHOP,Topshop US,"This sporty thong comes in a cool fuschia with a low-rise fit. 85% Nylon,14% Elastane,1% Polyester. Machine wash.",Seamless Sporty Thong,NULL,NULL,26-04-20 19:42
Geo Floral Lace Underwire Bra,CHARCOAL,Lingerie,35,"32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,32DD","32A,32B,32C,34A,34B,36B",US TOPSHOP,Topshop US,"Non-padded bra with underwired cups for a barely-there feel with discreet support 85% Nylon,15% Elastane. Machine wash.",Geo Floral Lace Underwire Bra,NULL,NULL,26-04-20 19:42
Body by Somedays Lovin',BLACK,Lingerie,100,"XS,S,M,L","XS,S,M,L",US TOPSHOP,Topshop US,"Black body by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash.",Body by Somedays Lovin',NULL,NULL,26-04-20 19:42
Somedays Lovin' Bra,BLACK,Lingerie,75,"L,M,S,XL,XS","L,M,S,XS",US TOPSHOP,Topshop US,"Black 'break of dawn' bra by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash.",Somedays Lovin' Bra,NULL,NULL,26-04-20 19:42
Two Tone Lace Bralet,Nude,Lingerie,30,"2,4,6,8,10,12,14",8,US TOPSHOP,Topshop US,"Delicate lace is the focus of this pretty two-tone bralet in nude. 49% Polyamide, 36% Polyester, 15% Elastane. Machine wash.",Two Tone Lace Bralet,NULL,NULL,26-04-20 19:42
