product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
PINK Wear Everywhere T-Shirt Bra,basil tropical print,Wear Everywhere T-Shirt Bra,34.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,An everyday bra that essential for every bra wardrobe! Convertible straps make it perfect for wearing with any tank or t-shirt. Lightly lined for subtle lift Underwire cups Light push Fully adjustable straps can convert to crossback and snap into place for a secure hold Back closure Hook and eye closure Imported polyamide/spandex,PINK Wear Everywhere T-Shirt Bra,NULL,NULL,26-04-20 19:57
NEW! Wear Everywhere Push-Up Bra,basil tropical print,Wear Everywhere Push-Up Bra,36.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
NEW! Wear Everywhere Push-Up Bra,battle blue with mini logo side graphic,Wear Everywhere Push-Up Bra,34.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34AA,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
NEW! Wear Everywhere Push-Up Bra,ensign tropical exploded pink,Wear Everywhere Push-Up Bra,34.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",36B,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
NEW! Wear Everywhere Push-Up Bra,midnight tropical,Wear Everywhere Push-Up Bra,36.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
NEW! Wear Everywhere Push-Up Bra,ensign tropical exploded pink,Wear Everywhere Push-Up Bra,36.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
Lightly Lined Triangle Bralette,blue paisley,Lightly Lined Triangle Bralette,32.5,"32A, 32B, 32C, 32D, 32DD, 34A, 34B, 34C, 34D, 34DD, 36A, 36B, 36C, 36D, 36DD, 38A, 38B, 38C, 38D, 38DD",34DD,Victoria's Secret,Victoriassecret US,"Lightly lined for subtle shape, this bralette has a flexible, comfy underwire to provide light support that moves with you. Â  Lift & Lining Lightly lined for shape Flexible, comfy underwire provides additional, light support that moves with you. Plunging neckline Straps & Hooks Minimal, fully adjustable straps J-hook at back for crossback option Single row of hook and eye closures Double hook and eye back closures for cup sizes 36D-38DD 4 settings to ensure a perfect fit Details & Fabric No-slip lining for invisible support and all-day hold Imported nylon/spandex",Lightly Lined Triangle Bralette,NULL,NULL,26-04-20 19:57
Lightly Lined Triangle Bralette,blue paisley,Lightly Lined Triangle Bralette,29.5,"32A, 32B, 32C, 32D, 32DD, 34A, 34B, 34C, 34D, 34DD, 36A, 36B, 36C, 36D, 36DD, 38A, 38B, 38C, 38D, 38DD",34D,Victoria's Secret,Victoriassecret US,"Lightly lined for subtle shape, this bralette has a flexible, comfy underwire to provide light support that moves with you. Â  Lift & Lining Lightly lined for shape Flexible, comfy underwire provides additional, light support that moves with you. Plunging neckline Straps & Hooks Minimal, fully adjustable straps J-hook at back for crossback option Single row of hook and eye closures Double hook and eye back closures for cup sizes 36D-38DD 4 settings to ensure a perfect fit Details & Fabric No-slip lining for invisible support and all-day hold Imported nylon/spandex",Lightly Lined Triangle Bralette,NULL,NULL,26-04-20 19:57
PINK NEW! Wear Everywhere Push-Up Bra,basil tropical print,Wear Everywhere Push-Up Bra,36.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34DD,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",PINK NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
PINK NEW! Wear Everywhere Push-Up Bra,battle blue with mini logo side graphic,Wear Everywhere Push-Up Bra,34.95,"30AA, 30A, 30B, 30C, 30D, 30DD, 32AA, 32A, 32B, 32C, 32D, 32DD, 34AA, 34A, 34B, 34C, 34D, 34DD, 36AA, 36A, 36B, 36C, 36D, 36DD",34AA,Victoria's Secret Pink,Victoriassecret US,"An everyday fave with soft, no-show cups and a super comfortable fit! Most push Super soft pad and smooth no-show cups Fully adjustable strapsÂ­â€“wear it classic or crossback Structured, underwire cups Hook-and-eye closure Imported nylon/spandex",PINK NEW! Wear Everywhere Push-Up Bra,NULL,NULL,26-04-20 19:57
